en;ru;uk;kk;translation_key
keyColumns=translation_key;actionType=modify
Tenge;Тенге;Тенге;Tеңгесі;currency_tenge
US Dollar;Доллар США;Доллар США;АҚШ доллары;currency_us_dollar
Euro;Евро;Евро;Eуро;currency_euro
Russian Ruble;Российский рубль;Российский рубль;Ресей рублі;currency_rub
Hryvnia;Гривня;Гривня;Гривня;currency_uah
null;Главное меню;Главное меню;null;page_main_menu
null;Обзор;Обзор;null;page_review
Accounts;Счета;Счета;null;page_accounts
Deposits;Депозиты;Депозиты;null;demand_deposits
Credits;Кредиты;Кредиты;null;demand_credits
null;Корпоративные карты;Корпоративные карты;null;translation_1
null;Личный кабинет;Личный кабинет;null;translation_2
null;Денежные операции;Денежные операции;null;page_money_transactions
null;Платежи;Платежи;null;translation_3
null;Международные переводы;Международные переводы;null;translation_4
null;Перевод между своими счетами;Перевод между своими счетами;null;translation_5
null;Конвертация;Конвертация;null;translation_6
null;Длительные поручения;Длительные поручения;null;translation_7
null;Прочие операции;Прочие операции;null;page_other_transactions
null;Счета на оплату;Счета на оплату;null;translation_8
Documents for signature;Документы на подпись;Документы на подпись;Документы на подпись;page_doc_for_signature
null;Возвраты;Возвраты;null;translation_9
null;Отзывы платежей;Отзывы платежей;null;translation_10
null;Просмотр;Просмотр;null;privilege_account_view
null;Открыть новый;Открыть новый;null;privilege_account_new
null;Остаток по всем счетам;Остаток по всем счетам;null;privilege_account_balances
null;Закрытые счета;Закрытые счета;null;translation_11
null;Экспорт в Excel;Экспорт в Excel;null;privilege_account_excel
null;История транзакций;История транзакций;null;privilege_account_history
null;Выписка;Выписка;null;privilege_account_statement
null;Закрыть счет;Закрыть счет;null;privilege_account_toClose
null;Платеж;Платеж;null;privilege_account_payment
null;Перевод;Перевод;null;privilege_account_transfer
null;Просмотр;Просмотр;null;privilege_deposits_view
null;Открыть новый;Открыть новый;null;privilege_deposits_new
null;Показать закрытые;Показать закрытые;null;privilege_deposits_closed
null;Остаток;Остаток;null;privilege_deposits_balances
null;Заказать выписку;Заказать выписку;null;privilege_deposits_statement
null;Пополнить счет;Пополнить счет;null;privilege_deposits_credit
null;Просмотр/Редактирование;Просмотр/Редактирование;null;privilege_deposits_edit
null;История транзакций;История транзакций;null;privilege_deposits_history
null;Закрыть;Закрыть;null;privilege_deposits_close
null;Скрыть;Скрыть;null;privilege_deposits_hide
null;Платеж;Платеж;null;privilege_deposits_payment
null;Перевести;Перевести;null;privilege_deposits_transfer
null;Информация и предложения;Информация и предложения;null;page_information_offers
null;Курс валют;Курс валют;null;translation_12
null;Выписка;Выписка;null;translation_13
null;Почта;Почта;null;translation_14
null;Заявления;Заявления;null;page_statements
History;История действий;История действий;null;translation_15
null;Справочники;Справочники;null;page_handbooks
null;Общие;Общие;null;page_common
null;Мои;Мои;null;page_my
null;Просмотр;Просмотр;null;privilege_credits_view
null;Показать закрытые;Показать закрытые;null;privilege_credits_closed
null;Остаток;Остаток;null;privilege_credits_balances
null;Новый кредит;Новый кредит;null;privilege_credits_new
null;История транзакций;История транзакций;null;privilege_credits_history
null;Заказ выписки;Заказ выписки;null;privilege_credits_statement
null;Досрочное погашение;Досрочное погашение;null;privilege_credits_close
null;Платеж;Платеж;null;privilege_credits_payment
null;Скрыть;Скрыть;null;privilege_credits_hide
null;Просмотр;Просмотр;null;privilege_corpCards_view
null;Доступ;Доступ;null;privilege_personal
null;Просмотр;Просмотр;null;privilege_finOperations_view
null;Просмотр;Просмотр;null;privilege_payments_view
null;Просмотр;Просмотр;null;privilege_int_transfers_view
null;Просмотр;Просмотр;null;privilege_transfers_view
null;Просмотр;Просмотр;null;privilege_conversion_view
null;Просмотр;Просмотр;null;privilege_standing_orders_view
null;Просмотр;Просмотр;null;privilege_otherOperations_view
null;Просмотр;Просмотр;null;privilege_invoices_view
null;Просмотр;Просмотр;null;privilege_docsSign_view
null;Просмотр;Просмотр;null;privilege_refunds_view
null;Просмотр;Просмотр;null;privilege_reversals_view
null;Просмотр;Просмотр;null;privilege_infoAndSuggestions_view
null;Просмотр;Просмотр;null;privilege_exchangeRate_view
null;Просмотр;Просмотр;null;privilege_statement_view
null;Просмотр;Просмотр;null;privilege_message_view
null;Просмотр;Просмотр;null;privilege_demand_view
null;Просмотр;Просмотр;null;privilege_history_view
null;Просмотр;Просмотр;null;privilege_handbooks_view
null;Просмотр;Просмотр;null;privilege_commonHandbooks_view
null;Просмотр;Просмотр;null;privilege_userHandbooks_view
null;Просмотр;Просмотр;null;privilege_root_view
null;Просмотр;Просмотр;null;privilege_assets_view
null;Просмотр;Просмотр;null;privilege_tasks_view
null;Заявка на выпуск;Заявка на выпуск;null;privilege_corpCards_new
null;Заявка на перевыпуск;Заявка на перевыпуск;null;privilege_corpCards_reiss
null;Остаток по всем;Остаток по всем;null;privilege_corpCards_balance
null;Показать закрытые карты;Показать закрытые карты;null;privilege_corpCards_closed
null;Детали заблокированной суммы;Детали заблокированной суммы;null;privilege_corpCards_blocked_details
null;История транзакций;История транзакций;null;privilege_corpCards_history
null;Выписка;Выписка;null;privilege_corpCards_statement
null;Блокирование карты;Блокирование карты;null;privilege_corpCards_block
null;Перевод/конвертация валюты;Перевод/конвертация валюты;null;privilege_corpCards_transfer
null;Пополнение карты;Пополнение карты;null;privilege_corpCards_credit
null;Создать новый;Создать новый;null;privilege_payments_add
null;Создать новый;Создать новый;null;privilege_int_transfers_add
null;Создать новый;Создать новый;null;privilege_refunds_add
null;Редактировать;Редактировать;null;privilege_int_transfers_edit
null;Создать;Создать;null;privilege_message_add
null;Отправить;Отправить;null;privilege_message_sent
null;Ответить;Ответить;null;privilege_message_reply

Add;Создать;Создать;Создать;privilege_payment_service_add
View;Просмотр;Просмотр;Просмотр;privilege_payment_service_view
Edit;Редактировать;Редактировать;Редактировать;privilege_payment_service_edit

null;Экспорт в excel;Экспорт в excel;null;privilege_history_excel
null;Редактировать кредит;Редактировать кредит;null;privilege_credits_edit
null;Редактирование корпоративной карты;Редактирование корпоративной карты;null;privilege_corpCards_edit
null;Главное меню;Главное меню;null;m_root
null;Клиентские данные;Клиентские данные;null;m_clientdata
null;Счета;Счета;null;m_accounts
null;Депозиты;Депозиты;null;m_deposits
null;Кредиты;Кредиты;null;m_credits
null;Корпоративные карты;Корпоративные карты;null;m_corp_cards
null;Документы;Документы;null;m_documents
null;Календари;Календари;null;m_calendars
null;Работа с ОТР токенами;Работа с ОТР токенами;null;m_otp_tokens
null;Организации;Организации;null;m_organisations
null;Уполномоченные лица;Уполномоченные лица;null;m_auth_persons
null;Управление пользователями;Управление пользователями;null;m_management
null;Пользователи;Пользователи;null;m_users
null;Менеджеры;Менеджеры;null;m_managers
null;История событий;История событий;null;m_event_history
null;Сессии пользователей;Сессии пользователей;null;m_sessions
null;Журнал запросов;Журнал запросов;null;m_requests
null;Просмотр;Просмотр;null;m_root_view
null;Просмотр;Просмотр;null;m_clientdata_view
null;Просмотр;Просмотр;null;m_account_view
null;История;История;null;m_account_history
null;Просмотр;Просмотр;null;m_deposits_view
null;История;История;null;m_deposits_history
null;Просмотр;Просмотр;null;m_credits_view
null;История;История;null;m_credits_history
null;Просмотр;Просмотр;null;m_corpCards_view
null;Заблокированные суммы;Заблокированные суммы;null;m_corpCards_blocked
null;История;История;null;m_corpCards_history
null;Просмотр;Просмотр;null;m_documents_view
null;Просмотр;Просмотр;null;m_transfers_view
null;Просмотр;Просмотр;null;m_convertion_view
null;Просмотр;Просмотр;null;m_standing_orders_view
null;Просмотр;Просмотр;null;m_cl_orders_view
null;Просмотр;Просмотр;null;m_handbooks_view
null;Письма;Письма;null;m_letters
null;Новости;Новости;null;m_news
null;Конвертация;Конвертация;null;m_convertion
null;Справочники;Справочники;null;m_handbooks
null;Банковские справочники;Банковские справочники;null;m_bank_hb
null;Системные справочники;Системные справочники;null;m_system_hb
null;Настройка доступов;Настройка доступов;null;m_access
null;Длительные поручения;Длительные поручения;null;m_standing_orders
null;Заявления клиентов;Заявления клиентов;null;m_cl_orders
null;Перевод между своими счетами;Перевод между своими счетами;null;m_transfers
null;Константы;Константы;null;m_constants
null;Конструктор заявлений;Конструктор заявлений;null;m_constructor
null;Просмотр;Просмотр;null;m_bank_hb_view
null;Редактировать;Редактировать;null;m_bank_hb_edit
null;Просмотр;Просмотр;null;m_calendars_view
null;Создать;Создать;null;m_calendars_add
null;Редактировать;Редактировать;null;m_calendars_edit
null;Просмотр;Просмотр;null;m_system_hb_view
null;Редактировать;Редактировать;null;m_system_hb_edit
null;Просмотр;Просмотр;null;m_constants_view
null;Редактировать;Редактировать;null;m_constants_edit
null;Просмотр;Просмотр;null;m_access_view
null;Редактировать;Редактировать;null;m_access_edit
null;Просмотр;Просмотр;null;m_constructor_view
null;Редактировать;Редактировать;null;m_constructor_edit
null;Просмотр;Просмотр;null;m_management_view
null;Просмотр;Просмотр;null;m_users_view
null;Создать;Создать;null;m_users_add
null;Редактировать;Редактировать;null;m_users_edit
null;Смена пароля;Смена пароля;null;m_users_password
null;Смена статуса;Смена статуса;null;m_users_status
null;Просмотр;Просмотр;null;m_managers_view
null;Создать;Создать;null;m_managers_add
null;Редактировать;Редактировать;null;m_managers_edit
null;Смена пароля;Смена пароля;null;m_managers_password
null;Смена статуса;Смена статуса;null;m_managers_status
null;Просмотр;Просмотр;null;m_events_history_view
null;Просмотр;Просмотр;null;m_sessions_view
null;Деактивация;Деактивация;null;m_sessions_deactivate
null;Просмотр;Просмотр;null;m_requests_view
null;Просмотр;Просмотр;null;m_organisations_view
null;Создать;Создать;null;m_organisations_add
null;Редактировать;Редактировать;null;m_organisations_edit
null;Удаление;Удаление;null;m_organisations_delete
null;Просмотр;Просмотр;null;m_auth_persons_view
null;Создать;Создать;null;m_auth_persons_add
null;Редактировать;Редактировать;null;m_auth_persons_edit
null;Просмотр;Просмотр;null;m_otp_tokens_view
null;Импорт;Импорт;null;m_otp_tokens_import
null;Просмотр;Просмотр;null;m_message_view
null;Создать;Создать;null;m_message_add
null;Ответить;Ответить;null;m_message_reply
null;Просмотр;Просмотр;null;m_news_view
null;Создать;Создать;null;m_news_add
null;Редактировать;Редактировать;null;privilege_payments_edit
null;Создать;Создать;null;privilege_conversion_add
null;Редактировать;Редактировать;null;privilege_conversion_edit
null;Создать;Создать;null;m_constructor_add
null;Отправка;Отправка;null;m_message_sent
null;Онлайн чат;Онлайн чат;null;privilege_online_chat
null;Просмотр;Просмотр;null;m_singanurerule_view
null;Правила подписи;Правила подписи;null;m_signaturerules
null;Создать;Создать;null;m_singanurerule_add
null;Редактировать;Редактировать;null;m_singanurerule_edit
null;Удаление;Удаление;null;m_singanurerule_delete
null;Создать;Создать;null;privilege_transfers_add
null;Редактировать;Редактировать;null;privilege_transfers_edit
null;Редактировать статус документов;Редактировать статус документов;null;privilege_workflow_actions
null;Выставленные мне счета;Выставленные мне счета;null;page_invoices
null;Выставленные мною счета;Выставленные мною счета;null;page_expose_orders
null;Просмотр;Просмотр;null;privilege_invoice_view
null;Оплатить;Оплатить;null;privilege_invoice_pay
null;Просмотр;Просмотр;null;privilege_exposedorders_view
null;Создать;Создать;null;privilege_exposedorders_add
null;Редактировать;Редактировать;null;privilege_exposedorders_edit
Account Currency;Валюта Счета;Валюта Счета;Валюта Счета;accountCurrency
Agreement text;Текст соглашения;Текст соглашения;Текст соглашения;agreementText
Account Purpose;Назначение счета;Назначение счета;Назначение счета;accountPurpose
Account;Счет;Счет;Счет;custom_field_account
Close condition;Условие Закрытия;Условие Закрытия;Условие Закрытия;custom_field_close_condition
unused sheets Rooms in checkbook;Номера неиспользованных листов в чековой;Номера неиспользованных листов в чековой;Номера неиспользованных листов в чековой;custom_field_unused_sheet
The reason for account closure;Причина закрытия счета;Причина закрытия счета;Причина закрытия счета;custom_field_acc_closure_reason
Deposit type;Вид депозита;Вид депозита;Салымның түрі;custom_field_deposit_type
Deposit currency;Валюта депозита;Валюта депозита;Салым валютасы;custom_field_deposit_currency
Length of deposit;Срок депозита;Срок депозита;Салымның мерзімі;custom_field_loan_term
confirmation;Подтверждение;Подтверждение;Подтверждение;custom_field_confirmation
text agreement;Текст Соглашения;Текст Соглашения;Текст Соглашения;custom_field_text_agreement
deposit agreement;Назначение вклада;Назначение вклада;Назначение вклада;custom_field_deposit_agreement
Deposit;Депозит;Депозит;Депозит;custom_field_deposit
Account for transfer;Счет для перечисления;Счет для перечисления;Аударуға арналған шот;custom_field_account_for_transfer
close reason;Причина закрытия;Причина закрытия;Причина закрытия;custom_field_close_reason
Loan type;Вид займа;Вид займа;Вид займа;custom_field_loan_type
Loan Currency;Валюта займа;Валюта займа;Валюта займа;custom_field_loan_currency
Loan term;Срок займа;Срок займа;Срок займа;custom_field_loan_term_2
Loan amount;Сумма Займа;Сумма Займа;Сумма Займа;custom_field_loan_amount
Scanned copies of documents;Сканированные копии документов;Сканированные копии документов;Сканированные копии документов;custom_field_scanned_copies
confirmation of the loan;Подтверждение займа;Подтверждение займа;Подтверждение займа;custom_field_confirmation_loan
text agreement;Текст соглашения;Текст соглашения;Текст соглашения;custom_field_text_agreement_2
Loan purpose;Назнаения займа;Назнаения займа;Назнаения займа;custom_field_loan_purpose
The agreement on the opening of accounts;Согласие с условием открытия счета;Согласие с условием открытия счета;Согласие с условием открытия счета;agreementOpeningAccounts
Credit;Кредит;Кредит;Кредит;custom_field_credit
maturity value;Сумма погашения;Сумма погашения;Сумма погашения;custom_field_maturity_value
Principal debt;Сумма основного долга;Сумма основного долга;Сумма основного долга;custom_field_principal_debt
Changing the payment schedule;Изменение графика платежа;Изменение графика платежа;Изменение графика платежа;custom_field_payment_schedule
Type of card products;Вид карточного продукт;Вид карточного продукт;Вид карточного продукт;custom_field_type_card_products
Currency card;Валюта карты;Валюта карты;Валюта карты;custom_field_currency_card
confirmation;Подтверждение;Подтверждение;Подтверждение;custom_field_confirmation_2
text of the agreement;Текст соглашения;Текст соглашения;Текст соглашения;custom_field_text_agreement_3
Appointment cards;Назначение карты;Назначение карты;Назначение карты;custom_field_appointment_cards
card;Карта;Карта;Карта;custom_field_card
Ground of re-issue;Причина перевыпуска;Причина перевыпуска;Қайта шығару себебі;custom_field_reason_reissue
CASH;НАЛИЧНЫЙ;НАЛИЧНЫЙ;НАЛИЧНЫЙ;exchange_rate_cash
CASHLESS;БЕЗНАЛИЧНЫЙ;БЕЗНАЛИЧНЫЙ;БЕЗНАЛИЧНЫЙ;exchange_rate_cashless
NATIONAL;НАЦИОНАЛЬНЫЙ БАНК;НАЦИОНАЛЬНЫЙ БАНК;НАЦИОНАЛЬНЫЙ БАНК;exchange_rate_national
CROSS;КРОСС;КРОСС;КРОСС;exchange_rate_cross
Pound sterling;Фунт стерлингов;Фунт стерлингов;Фунт стерлинг;currency_gbr
Quick Links;Быстрые ссылки;Быстрые ссылки;Быстрые ссылка;m_quick_link
Edit;Редактировать;Редактировать;Редактировать;m_quicklink_edit
Certificates reissuing;Перевыпуск сертификатов;Перевыпуск сертификатов;Перевыпуск сертификатов;m_cert_reissuing
Load accounts;Загрузка счетов;Загрузка счетов;Загрузка счетов;job_ACCOUNT
Load exchange rate;Запрос курсов валют;Запрос курсов валют;Запрос курсов валют;job_EXCHANGE_RATE
Request document state;Запрос состояния документа;Запрос состояния документа;Запрос состояния документа;job_DOC_STATE_CHANGED
International transfer;Международный перевод;Международный перевод;Международный перевод;job_EXPORT_INTERNATIONAL
Account transfer;Перевод между своими счетами;Перевод между своими счетами;Перевод между своими счетами;page_inner_transactions
Domestic transfer;Перевод в национальной валюте;Перевод в национальной валюте;Перевод в национальной валюте;job_EXPORT_DOMESTIC_TRANSFER
Integration tasks;Задачи интеграции;Задачи интеграции;Задачи интеграции;job_group_integration
Document tasks;Задачи по документам;Задачи по документам;Задачи по документам;job_group_documents
Exposed documents;Выставленные счета;Выставленные счета;Выставленные счета;job_exposedOrder
Currency rate type;Типы курсов валют;Типы курсов валют;Типы курсов валют;job_CURRENCY_RATE_TYPE
Regions;Регионы;Регионы;Регионы;job_REGION
Integration;Интеграция;Интеграция;Интеграция;job_common
Cities;Города;Города;Города;job_CITY
Notifications;Уведомления;Уведомления;Уведомления;job_NOTIFICATIONS
Directory of Russian banks;Справочник Российские банки;Справочник Российские банки;Справочник Российские банки;job_RU_BANK
Deposits;Депозиты;Депозиты;Депозиты;job_DEPOSIT
Deposit kinds;Виды депозитов;Виды депозитов;Виды депозитов;job_DEPOSIT_KIND
Credit kinds;Виды кредитов;Виды кредитов;Виды кредитов;job_CREDIT_KIND
Credit payment kinds;Виды платежей по кредитам;Виды платежей по кредитам;Виды платежей по кредитам;job_CREDIT_PAYMENT_KIND
Card product kinds;Виды карточных продуктов;Виды карточных продуктов;Виды карточных продуктов;job_CARD_PRODUCT_KIND
Card kinds;Виды карт;Виды карт;Виды карт;job_CARD_KIND
Currency;Валюта;Валюта;Валюта;job_CURRENCY
Calendar;Календарь рабочих дней;Календарь рабочих дней;Календарь рабочих дней;job_CALENDAR
Service Point;Банкоматы / отделения / терминалы;Банкоматы / отделения / терминалы;Банкоматы / отделения / терминалы;job_SERVICE_POINT
Service Point Schedule;Режим работы банкоматов / отделений / терминалов;Режим работы банкоматов / отделений / терминалов;Режим работы банкоматов / отделений / терминалов;job_SERVICE_POINT_SCHEDULE
Create new document;Создать новый документ;Создать новый документ;Создать новый документ;common_createDocument
Show the balance of all accounts;Показать остаток по всем счетам;Показать остаток по всем счетам;Показать остаток по всем счетам;common_showBalance
Go to the;Перейти на;Перейти на;Перейти на;notFound_go_to_the
Incorrect login or password;Неверный логин или пароль;Неверный логин или пароль;Неверный логин или пароль;login.IncorrectLoginOrPassword
No valid keys;Валидные ключи отсутствуют;Валидные ключи отсутствуют;Валидные ключи отсутствуют;docSigning_noValidKeys
Export to 1C;Экспорт в 1C;Экспорт в 1C;Экспорт в 1C;domestic_documentExport1c
The start date must precede the end date;Дата начала действия должна предшествовать дате окончания;Дата начала действия должна предшествовать дате окончания;Дата начала действия должна предшествовать дате окончания;exchangeRate.date.conflict
Agree With Condition;Согласие с условием открытия счета;Согласие с условием открытия счета;Согласие с условием открытия счета;demandCreate_agreeWithCondition
tax code repeated;ИИН повторяется;ИИН повторяется;ИИН повторяется;paymentOrder_taxCodeRepeated
error in;ошибка в;ошибка в;ошибка в;common_error_in
Message:;Message:;Message:;Message:;error.message
Input Error;Ошибка ввода;Ошибка ввода;Ошибка ввода;common_InputError
Enter login;Укажите логин;Укажите логин;Укажите логин;login_enter_login
Password;Пароль;Пароль;Пароль;login_factor_Password

Executor id;Идентификатор Пользователя(Id в системе);Идентификатор Пользователя(Id в системе);Идентификатор Пользователя(Id в системе);EventsExcelCreator.ExecutorId
Sign in;Вход в систему;Вход в систему;Вход в систему;login_title
Dictionary type;Тип справочника;Тип справочника;Тип справочника;global_settings.constants.table.col.handbook_type
Max length is 1000 symbols;Максимальная длина 1000 символов!;Максимальная длина 1000 символов!;Максимальная длина 1000 символов!;global_settings.constants.validation.max.1000
1 deposit is selected;1 депозит выбран;1 депозит выбран;1 депозит выбран;oneDepositIsSelected
Document number;Документ номер;Документ номер;Документ номер;upload_docNumber
Make visible;Сделать видимым;Сделать видимым;Сделать видимым;common_makeVisible
Incorrect current password;Неверный текущий пароль;Неверный текущий пароль;Неверный текущий пароль;personal_incorrectCurrentPass
For Month;За месяц;За месяц;За месяц;common_forMonth
Cash sale;Продажа Наличный;Продажа Наличный;Продажа Наличный;CASH_SALE

Executor name;ФИО;ФИО;Ф.И.О.;EventsExcelCreator.ExecutorName
Your request cannot be processed;Your request cannot be processed;Your request cannot be processed;Your request cannot be processed;error.title
Error while trying to sign the doc;Возникла ошибка при подписи документа;Возникла ошибка при подписи документа;Возникла ошибка при подписи документа;signature.signError
Your profile deleted;Ваш профиль удален;Ваш профиль удален;Ваш профиль удален;login.ProfileDeleted
Auth factor name;Название фактора авторизации;Название фактора авторизации;Название фактора авторизации;authfactor_name
Incorrect SMS password;Неверный смс пароль;Неверный смс пароль;Неверный смс пароль;login.IncorrectSMSPassword

Sent to bank;Отправить в банк;Отправить в банк;Отправить в банк;paymentOrder_sentToBank
Signature is not required;Подпись не требуется;Подпись не требуется;Подпись не требуется;signature.signIsNotRequired
Login;Логин;Логин;Логин;UsersExcelCreator.Login
Subject user name;ФИО;ФИО;Ф.И.О.;EventsExcelCreator.SubjectName
beneficiary Tax Code;налоговый код бенефициара;налоговый код бенефициара;налоговый код бенефициара;common_benefTaxCode
Dispaly certificate;Показать сертификат;Показать сертификат;Показать сертификат;companyperson_certificate_display
Balance by all accounts;Остаток по всех счетах;Остаток по всех счетах;Остаток по всех счетах;common_balanceByAllAccounts
Corporate card details;Детали корпоративной карты;Детали корпоративной карты;Детали корпоративной карты;corporateCardDetails
Активен;Активен;Активен;Активен;organization.active
Hide closed accounts;Скрыть закрытые счета;Скрыть закрытые счета;Скрыть закрытые счета;common_hideClosedAccounts
Overdue;Просрочен;Просрочен;Просрочен;common_overdue
Message Filter Settings;Настройки фильтра сообщений;Настройки фильтра сообщений;Настройки фильтра сообщений;letterFilterSettings
Cashless purchase;Покупка Безналичный;Покупка Безналичный;Покупка Безналичный;CASHLESS_PURCHASE
The user is not defined;Пользователь не определен;Пользователь не определен;Пользователь не определен;workflow_userNotDetected
Payer account and receiver account shouldn`t duplicate;Счет отправителя и счет получателя не должны быть одинаковыми;Счет отправителя и счет получателя не должны быть одинаковыми;Счет отправителя и счет получателя не должны быть одинаковыми;paymentOrder_dontDuplicateAccount
Open deposit;Открыть депозит;Открыть депозит;Открыть депозит;common_openDeposit
Document Import from 1c;Импорт документов из 1с;Импорт документов из 1с;Импорт документов из 1с;common_documentImport1c
purpose payment;назначение платежа;назначение платежа;назначение платежа;common_purpose
Kind documents;Вид документов;Вид документов;Вид документов;common_kindDocument
Unblocking;Разблокировка;Разблокировка;Разблокировка;unblocking
save Document;Сохранить Документ;Сохранить Документ;Сохранить Документ;common_saveDocument
Choose key store;Выберите хранилище ключей;Выберите хранилище ключей;Выберите хранилище ключей;docSigning_chooseProfile
Min length is 6 symbols;Минимальная длина 6 символов;Минимальная длина 6 символов;Минимальная длина 6 символов;auth.opt.token.min_length
Total file size should not exceed;Общий размер файлов не должен превышать;Общий размер файлов не должен превышать;Общий размер файлов не должен превышать;common_totalFileSizeShouldNotExceed
The sum of all of outstanding payments;Сумма всех неисполненных платежей;Сумма всех неисполненных платежей;Сумма всех неисполненных платежей;nonOutstandingPayments
